"Year","Authors"
2019,"Elango, D. ; Kawarazuka, Nozomi"
2021,"Mulwa, C. K. ; Mussa, H. ; Ogero, K. ; Makunde, G. S. ; Andrade, M"
2019,"Adam, R. I. ; Kandiwa, V. ; David, S. ; Muindi, P."
2013,"Karunakaran, K. R. ; Gracy, C. P. ; Lokesha, H. ; Bantilan, M. C. S. ; Kumara Charyulu, D. ; Rao, P. P. ; Nageswara Rao, G. D. ; Vaithiyalingan, M. ; Nadaf, H. L. ; Venkataramana, PB ; Upadhyaya, H. D. ; Janila, P. ; Rao, K. P. C."
2017,"Kemal, Seid Ahmed ;"
2011,"Mohammadi, Reza ; Mahmoodi, Kouresh Nader ; Haghparast, Reza ; Grando, S.tefania ; Rahmanian, Maryam ; Ceccarelli, S.alvatore"
2015,"Baco, M. N. ; Affoukouk, T. ; Moumouni, I. ; Abdoulaye, A."
2001,"Paris, T R. ; Singh, AK ; Luis, Joyce ; Singh, H. N. ; Singh, Omkar ; Singh, S.. ; Singh, RKK.am Kathin ; Sarkarung, S"
2001,"Nguyen, Ngoc De ;"
9999,"Thakur, R ;"
2001,"Tiwari, T. P., T. P., T. P. ; Virk ; Sinclair, FL"
9999,"Tiwari, T. P., T. P. ; Virk ; Sinclair, &"
2001,"Goyal, S. N. ; Joshi, A.... ; Witcombe, J.R.."
